Key INTEGER PRIMARY KEY, Type TEXT, Name TEXT, points_Beastlord INTEGER, Beastlord TEXT, points_Doombull INTEGER, Doombull TEXT, points_Great_Bray_Shaman INTEGER, Great_Bray_Shaman TEXT, points_Wargor INTEGER, Wargor TEXT, points_Bray_Shaman INTEGER, Bray_Shaman TEXT, points_Gor INTEGER, Gor TEXT, points_Ungor INTEGER, Ungor TEXT, points_Bestigor INTEGER, Bestigor TEXT, points_Tuskgor_Chariot INTEGER, Tuskgor_Chariot TEXT, points_Tuskgor_Chariot_Bestigor INTEGER, Tuskgor_Chariot_Bestigor TEXT, points_Tuskgor_Chariot_Ungor INTEGER, Tuskgor_Chariot_Ungor, points_Warhounds_of_Chaos INTEGER, Warhounds_of_Chaos TEXT, points_Chaos_Trolls INTEGER, Chaos_Trolls TEXT, points_Chaos_Ogres INTEGER, Chaos_Ogres TEXT, points_Centigor INTEGER, Centigor TEXT, points_Minotaurs INTEGER, Minotaurs TEXT, points_Dragon_Ogres INTEGER, Dragon_Ogres TEXT, points_Dragon_Ogre_Shaggoth INTEGER, Dragon_Ogre_Shaggoth TEXT, points_Shaggoth_Champion INTEGER, Shaggoth_Champion TEXT, points_Chaos_Giant INTEGER, Chaos_Giant TEXT, points_Spawn_of_Chaos INTEGER, Spawn_of_Chaos TEXT, points_Dogs_of_War INTEGER, Dogs_of_War TEXT, points_Khazrak_the_One_Eye INTEGER, Khazrak_the_One_Eye TEXT, points_Gorthor_the_Beastlord INTEGER, Gorthor_the_Beastlord TEXT, points_Morghur_Master_of_Skulls INTEGER, Morghur_Master_of_Skulls TEXT, Description TEXT, Special_Rule TEXT
Type, Name, points_Beastlord, Beastlord, points_Doombull, Doombull, points_Great_Bray_Shaman, Great_Bray_Shaman, points_Wargor, Wargor, points_Bray_Shaman, Bray_Shaman, points_Gor, Gor, points_Ungor, Ungor, points_Bestigor, Bestigor, points_Tuskgor_Chariot, Tuskgor_Chariot, points_Tuskgor_Chariot_Bestigor, Tuskgor_Chariot_Bestigor, points_Tuskgor_Chariot_Ungor, Tuskgor_Chariot_Ungor, points_Warhounds_of_Chaos, Warhounds_of_Chaos, points_Chaos_Trolls, Chaos_Trolls, points_Chaos_Ogres, Chaos_Ogres, points_Centigor, Centigor, points_Minotaurs, Minotaurs, points_Dragon_Ogres, Dragon_Ogres, points_Dragon_Ogre_Shaggoth, Dragon_Ogre_Shaggoth, points_Shaggoth_Champion, Shaggoth_Champion, points_Chaos_Giant, Chaos_Giant, points_Spawn_of_Chaos, Spawn_of_Chaos, points_Dogs_of_War, Dogs_of_War, points_Khazrak_the_One_Eye, Khazrak_the_One_Eye, points_Gorthor_the_Beastlord, Gorthor_the_Beastlord, points_Morghur_Master_of_Skulls, Morghur_Master_of_Skulls, Description, Special_Rule
'Command', 'Musician', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 5, 'Y', 0, 'N', 6, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 10, 'Y', 7, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Standard', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 10, 'Y', 0, 'N', 12, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 20, 'N', 14, 'Y', 20, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Foe-render', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 20, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Gouge-horn', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 12, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Big Chaos Ogre', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 20, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Gorehoof', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 14, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Command', 'Bloodkine', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 20, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Weapon', 'Hand Weapon', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'Y', 0, 'N', 0, 'N', 0, 'Y', 0, 'Y', 0, 'N', 'N/A', 'N/A'
'Weapon', 'Great Weapon', 6, 'Y', 8, 'Y', 0, 'N', 0, 'N', 4, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'Y', 0, 'N', 0, 'N', 0, 'Y', 0, 'N', 6, 'Y', 0, 'N', 6, 'Y', 6, 'Y', 8, 'Y', 8, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 0, 'N', 'N/A', 'N/A'
'Weapon', 'Additional Hand Weapon', 4, 'Y', 6, 'Y', 6, 'Y', 4, 'Y', 4, 'Y', 0, 'Y', 0, 'N', 0, 'Y', 0, 'N', 0, 'N', 0, 'N', 0, 'N', , , , , , , , , , , , , , , , , , , , , , , , , , , 'N/A', 'N/A'
